Meso,Epi,Mast,Club,SMC,Macro,B,Den,Stroma,Macro (alv),NK,T (CD4+),T (CD8+),Pericyte,Myeloid,Neutrophil,Den (plas),Plasma,T (reg),Mono,Mono (non),Den (conv),Malignant,Pneu (type II),Pneu (type I),Endo (ves),Endo (capi),Den (CD1c+),Endo (vein),Fibro,Epi (ciliated),Endo (artery),Fibro (bron)
0,104,177,3,23,1415,547,9,3,376,439,1971,2289,107,55,1,30,128,508,530,61,18,1194,221,129,23,160,260,306,165,41,211,149
1,89,45,2,3,771,403,6,2,361,348,1609,5300,7,11,0,25,388,1117,326,47,31,1684,104,121,12,109,151,75,42,9,9,15
3,205,200,71,18,1741,1115,13,3,153,408,2994,2987,38,23,0,32,307,601,219,107,53,2621,59,289,23,18,276,254,133,167,19,115
3,57,78,6,3,240,1014,0,0,136,338,1301,1335,16,11,0,15,254,337,242,10,11,247,50,104,32,291,53,58,63,22,70,11
0,103,133,17,5,383,407,10,0,501,293,682,906,9,41,1,5,162,112,85,15,15,552,70,57,2,67,87,17,23,67,6,2
4,188,215,2,4,2696,112,42,7,2394,686,1235,769,7,51,0,51,96,654,559,198,42,168,135,263,13,75,463,87,46,34,26,52
0,0,83,0,0,70,524,4,0,4,295,1869,1422,0,7,0,17,95,405,79,40,13,0,0,0,0,0,173,0,0,0,0,0
0,56,74,61,2,107,115,8,0,237,363,868,1175,0,10,0,55,26,140,206,53,21,119,14,44,32,3,91,13,21,264,5,2
0,44,330,6,1,1093,185,38,0,735,1037,1509,417,1,70,0,11,208,219,411,69,28,54,3,53,9,4,187,25,4,28,13,4
0,12,108,3,6,796,172,12,1,1536,41,264,260,1,108,0,23,155,74,315,27,19,16,3,49,6,3,140,28,50,1,3,18
0,173,338,108,2,599,137,39,0,5097,528,1309,988,2,142,0,50,23,145,807,160,68,65,48,242,8,25,404,97,30,93,32,5
0,38,307,5,0,671,320,15,0,73,94,657,299,1,46,0,8,49,101,103,11,14,46,11,39,2,21,209,24,19,3,7,5
2,10,25,5,3,1574,219,23,0,997,127,465,811,13,24,2,13,1029,75,244,8,55,308,1,7,5,3,63,15,22,10,1,35
0,47,389,6,0,513,95,7,0,226,132,810,641,2,13,0,19,78,85,324,35,22,496,48,167,8,22,82,30,14,18,4,8
0,26,314,6,31,344,192,11,1,322,481,755,616,9,7,0,31,1312,146,297,100,15,428,60,300,4,74,53,21,16,4,25,41
0,76,226,1,1,1282,1409,9,0,445,185,1369,671,0,12,1,46,141,102,138,13,34,74,7,49,2,0,113,5,8,7,1,3
0,4,87,0,0,20,51,3,0,8,93,402,449,0,0,1,3,13,76,61,24,1,6,3,0,0,0,40,3,0,1,0,0
0,3,28,0,0,12,32,1,0,2,23,681,430,0,1,0,1,9,161,110,63,3,3,2,0,0,0,28,1,0,0,0,0
0,0,11,0,0,6,0,0,0,1,0,12,8,0,0,0,0,0,4,2,2,1,0,2,0,0,1,1,0,0,0,0,0
2,32,161,7,7,334,202,5,0,53,99,1194,701,4,2,1,40,324,165,358,18,20,6,7,188,1,22,128,50,22,8,6,5
0,14,553,9,70,1254,652,41,0,144,316,2320,2249,21,38,4,52,587,517,1746,253,34,310,141,324,12,327,282,60,65,6,127,29
0,2,19,0,0,27,385,5,0,2,1151,1079,598,0,5,0,55,118,149,980,213,14,0,1,2,0,11,103,3,0,0,6,0
0,553,50,19,121,1476,401,29,0,1300,167,1439,1112,2,103,0,89,233,288,828,162,32,913,119,511,17,71,375,60,35,52,40,1
0,28,69,2,4,113,147,17,0,6,395,1666,709,8,2,0,12,137,245,536,85,13,43,12,62,0,108,123,27,5,0,12,1
0,2,139,0,2,439,270,4,0,44,353,1776,564,1,9,0,26,89,184,1009,164,14,7,0,94,0,22,105,9,7,0,7,0
0,59,17,1,8,184,539,11,0,113,26,949,410,3,11,0,15,284,199,224,13,15,9,10,20,0,32,146,71,6,0,5,6
0,43,14,3,1,773,459,17,0,427,298,1777,819,1,43,0,85,676,113,761,73,34,11,4,178,0,3,274,23,10,9,10,1
0,23,35,8,17,549,270,17,0,352,376,1723,1461,2,22,0,58,285,164,422,141,44,29,12,195,0,63,161,18,7,7,9,0
0,112,82,58,69,1231,590,21,0,1126,267,2382,1019,5,106,0,67,597,438,714,52,53,99,6,556,0,207,402,104,7,10,36,3
0,3,30,1,0,405,411,7,0,56,486,1491,1148,0,46,7,170,179,591,1588,69,15,5,0,0,0,1,409,0,0,0,0,0
4,131,86,68,215,404,349,10,0,718,458,2918,1052,49,36,1,8,38,163,808,23,20,66,21,917,6,522,312,1761,168,11,147,12
0,1,335,0,0,946,662,19,0,448,746,3399,2502,0,21,0,55,58,465,1802,120,72,0,0,4,0,5,393,2,2,0,1,0
0,18,75,7,2,1600,1182,32,0,3210,990,3587,2600,2,142,1,70,192,347,1338,160,71,16,8,9,3,10,360,18,8,7,0,0
0,9,389,32,49,987,80,7,4,1348,1270,2545,2598,198,74,5,68,224,208,1148,231,31,39,17,26,15,18,277,74,39,7,4,38
0,670,28,17,127,1894,1231,14,2,222,2279,12720,4606,142,131,8,214,5066,1836,2029,114,130,347,31,952,10,701,519,416,128,47,94,106
3,96,264,135,196,1308,6185,64,1,812,2121,10963,11324,71,71,13,429,941,2208,3711,255,106,835,180,626,21,335,1324,1188,320,60,156,177
0,0,60,0,0,251,644,4,0,72,504,902,263,0,17,0,4,342,255,579,133,13,1,0,0,0,0,121,0,0,0,0,1
0,26,70,0,0,445,224,9,0,49,299,1951,1695,0,23,0,41,191,330,428,148,17,20,20,0,0,0,130,8,0,4,0,0
0,1,56,0,1,882,262,18,0,756,168,2517,1006,1,52,1,23,194,372,970,115,21,0,0,1,0,2,256,0,0,0,0,0
0,14,4,0,0,206,1366,1,0,20,71,862,560,0,21,0,2,19,217,105,7,3,7,11,0,0,0,15,6,0,1,0,0
1,101,42,25,96,159,213,7,0,350,1885,411,149,0,53,0,6,24,9,377,7,8,18,33,1454,82,252,122,270,242,200,46,0
0,27,16,6,56,423,577,13,1,313,3725,1720,731,0,129,2,8,58,41,1721,14,12,36,77,1256,13,19,439,75,228,58,3,12
3,48,504,9,162,1262,125,26,15,585,424,2057,1116,30,65,6,18,38,241,1104,5,63,46,8,142,53,69,517,427,806,55,54,237
2,34,87,0,65,371,348,4,0,259,20,799,540,3,4,2,3,61,16,1219,0,7,25,4,200,25,30,236,180,973,10,31,19
0,45,1874,19,181,337,134,48,0,52,2560,923,3023,3,19,4,7,22,34,643,6,40,41,1,903,75,7,137,136,403,20,50,21
0,0,0,0,1,281,0,0,0,0,0,3,66,0,13,0,0,1,0,19,0,0,65,0,0,0,1,2,7,1,0,0,5
0,0,0,0,0,102,0,1,0,1,3,2,0,0,1,0,0,0,0,25,0,0,69,0,0,0,0,2,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,12,54,30,0,0,0,0,1,11,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,10,4,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,4,0,0,2
0,1,2,0,0,24,0,71,0,0,0,1,0,0,0,0,38,0,0,38,0,6,5,0,0,0,0,11,0,0,1,0,0
0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,5,0,0,2
0,6,3,0,0,6,10,0,0,1,5,14,53,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,2,0,0,6
0,36,6,0,0,3,0,0,0,0,0,3,4,0,1,0,0,10,3,0,0,0,88,0,14,0,1,1,2,3,0,0,0
0,2,18,0,3,93,31,11,0,0,3,28,72,27,0,1,70,76,6,35,0,0,639,0,0,2,0,11,18,2,0,1,6
0,18,98,8,18,178,137,43,0,11,26,264,301,8,9,1,65,379,70,233,5,7,127,1,23,13,20,127,176,14,11,1,6
0,2,10,0,5,37,1,3,0,8,17,18,19,0,1,27,1,13,1,35,1,0,2,49,56,0,75,6,6,15,8,2,2
0,1,0,0,0,339,39,4,0,7,78,518,230,0,5,0,0,0,25,31,5,0,954,0,0,0,0,9,0,0,0,0,0
9,4,21,0,5,141,0,6,0,2,0,8,0,10,12,2,0,5,0,39,0,0,7,0,2,0,1,70,43,18,1,0,4
0,0,0,0,0,8,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0
0,4,18,0,10,15,158,1,0,0,4,52,141,4,1,0,0,84,18,4,0,0,16,0,0,1,1,7,10,44,0,0,8
0,3,1,0,1,173,4,1,0,0,11,52,45,1,7,4,0,1,13,114,0,1,112,1,0,0,3,19,17,0,0,1,0
0,0,39,0,4,287,9,3,2,3,2,26,31,2,44,94,0,25,6,28,0,1,8,0,0,2,0,12,21,21,0,0,5
0,0,0,0,1,9,34,2,0,0,3,12,10,6,2,176,36,11,2,56,0,0,1,0,0,1,0,19,0,0,5,0,1
0,1,0,0,1,175,2,5,0,1,0,1,1,0,11,5,0,4,0,64,1,0,18,0,0,0,0,6,1,0,0,0,1
0,55,112,1,16,221,7,6,5,17,33,126,133,52,13,115,8,91,25,120,0,1,213,72,228,3,82,21,27,178,6,1,49
0,0,0,0,0,129,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,53,0,12,0,0,0,0,0,2,0,0
0,7,5,15,0,5,2,0,0,2,2,3,1,0,0,87,3,0,0,17,0,0,74,0,20,0,1,2,1,2,259,0,0
0,12,74,0,53,34,49,1,1,1,5,49,75,25,1,2,2,107,16,27,2,0,86,11,48,7,11,18,62,99,3,2,41
0,37,111,8,82,52,9,8,0,7,11,119,149,13,13,3,5,41,32,40,3,1,246,2,25,2,6,91,50,35,7,4,16
3,0,20,0,5,37,4,3,0,0,52,31,84,0,0,12,1,21,1,42,3,1,1,43,44,8,29,15,16,78,3,6,5
0,12,12,2,22,133,138,3,3,0,45,116,109,97,13,13,3,183,28,50,1,0,292,0,5,0,4,23,16,1,1,0,10
0,2,1,0,43,204,0,2,0,0,57,59,232,6,21,150,3,26,1,190,2,0,74,0,0,2,10,23,140,6,0,0,6
0,27,28,0,6,152,5,0,0,2076,2,10,3,0,19,0,0,16,0,64,3,0,2,46,1734,21,1,30,41,1,14,15,0
0,35,3,0,3,79,0,0,0,893,5,9,3,0,2,0,0,8,0,96,6,0,5,117,1652,9,5,47,39,27,61,40,0
0,141,1,2,8,53,1,0,0,2144,1,5,0,0,4,0,0,141,0,82,0,0,14,61,1419,10,0,14,28,9,42,15,0
0,178,0,1,1,23,1,0,0,1296,0,0,0,0,3,0,0,77,0,14,0,0,17,47,2360,5,0,1,40,6,76,2,0
0,85,1,3,3,176,2,1,0,1240,0,2,0,0,72,0,0,36,0,85,3,2,35,48,2193,6,0,77,12,10,12,5,0
0,34,7,0,1,183,17,0,0,1182,10,88,12,0,39,0,0,25,2,277,20,2,61,263,1313,14,5,58,40,24,20,14,0
